train_no,train_name
90640,BVI 90640 12 CAR
90642,BVI 90642 12 CAR
90644,BYR 90644 12 CAR
90646,BVI 90646 12 CAR
90674,VR 90674 12 CAR
90676,BVI 90676 12 CAR
94054,VR 94054 12 CAR
90680,GMN 90680 12 CAR
90682,BVI 90682 12 CAR
92134,NSP 92134 15 CAR
93024,DRD 93024 12 CAR
90684,ADH 90684 12 CAR
90686,BVI 90686 12 CAR
90688,BYR 90688 12 CAR
90690,MDD 90690 12 CAR
92136,VR 92136 15 CAR
90692,BVI 90692 12 CAR
90694,GMN 90694 12 CAR
90748,BSR 90748 12 CAR
90750,VR 90750 12 CAR
90752,ADH 90752 12 CAR
90754,BVI 90754 12 CAR
92148,VR 92148 15 CAR
90756,GMN 90756 12 CAR
90758,BVI 90758 12 CAR
92150,NSP 92150 15 CAR
90760,BVI 90760 12 CAR
90762,BA 90762 12 CAR
90764,BVI 90764 12 CAR
90766,VR 90766 12 CAR
92152,VR 92152 15 CAR
90768,MDD 90768 12 CAR
90770,BVI 90770 12 CAR
90790,BVI 90790 12 CAR
90792,VR 90792 12 CAR
90794,BA 90794 12 CAR
90796,BVI 90796 12 CAR
94064,VR 94064 12 CAR
90800,VR 90800 12 CAR
90802,BVI 90802 12 CAR
90804,GMN 90804 12 CAR
90806,BVI 90806 12 CAR
90808,BVI 90808 12 CAR
92162,VR 92162 15 CAR
90810,BVI 90810 12 CAR
90812,VR 90812 12 CAR
90814,BVI 90814 12 CAR
90838,BVI 90838 12 CAR
92168,VR 92168 15 CAR
90840,VR 90840 12 CAR
92170,BSR 92170 15 CAR
90842,BVI 90842 12 CAR
90844,VR 90844 12 CAR
90846,BVI 90846 12 CAR
90848,GMN 90848 12 CAR
90850,BVI 90850 12 CAR
90852,VR 90852 12 CAR
90854,BYR 90854 12 CAR
92172,VR 92172 15 CAR
90856,BVI 90856 12 CAR
90858,VR 90858 12 CAR
90860,BVI 90860 12 CAR
93032,DRD 93032 12 CAR
94070,BYR 94070 12 CAR
90898,BVI 90898 12 CAR
90900,BVI 90900 12 CAR
90902,GMN 90902 12 CAR
92176,VR 92176 15 CAR
92178,VR 92178 15 CAR
90904,BVI 90904 12 CAR
94072,BSR 94072 12 CAR
90908,BVI 90908 12 CAR
90910,VR 90910 12 CAR
90958,BVI 90958 12 CAR
92190,VR 92190 15 CAR
90960,VR 90960 12 CAR
90962,VR 90962 12 CAR
90964,BVI 90964 12 CAR
90966,VR 90966 12 CAR
93036,DRD 93036 12 CAR
90968,VR 90968 12 CAR
90970,VR 90970 12 CAR
90972,BVI 90972 12 CAR
90974,BVI 90974 12 CAR
90976,VR 90976 12 CAR
90978,BVI 90978 12 CAR
92192,VR 92192 15 CAR
90980,BVI 90980 12 CAR
94008,BVI 94008 12 CAR
94010,BVI 94010 12 CAR
94014,BVI 94014 12 CAR
94016,VR 94016 12 CAR
94018,VR # 94018 12 CAR
99235,99235 Thane – Nerul Local 35
99027,99027 Thane – Panvel Local 27
99455,99455 Thane – Vashi Local 55
99237,99237 Thane – Nerul Local 37
99457,99457 Thane – Vashi Local 57
99029,99029 Thane – Panvel Local 29
99239,99239 Thane – Nerul Local 39
99459,99459 Thane – Vashi Local 59
99031,99031 Thane – Panvel Local 31
99461,99461 Thane – Vashi Local 61
99033,99033 Thane – Panvel Local 33
99463,99463 Thane – Vashi Local 63
99241,99241 Thane – Nerul Local 41
99035,99035 Thane – Panvel Local 35
99465,99465 Thane – Vashi Local 65
99243,99243 Thane – Nerul Local 43
99467,99467 Thane – Vashi Local 67
99469,99469 Thane – Vashi Local 69
99037,99037 Thane – Panvel Local 37
99471,99471 TV 71
99473,99473 TV 73
99039,99039 TPL 39
99245,99245 TNU 45
99475,99475 TV 75
99041,99041 TPL 41
99477,99477 TV 77
99247,99247 TNU 47
99479,99479 TV 79
99249,99249 TNU 49 X
99043,99043 TPL 43
99481,99481 TV 81
99251,99251 TNU 51
99483,99483 TV 83
99045,99045 TPL 45
99485,99485 TV 85
99047,99047 TPL 47
99253,99253 TNU 53
99487,99487 TV 87 $
99255,99255 TNU 55 X
99049,99049 TPL 49 $
99489,99489 TV 89
99257,99257 TNU 57
99491,99491 TV 91
99051,99051 TPL 51
99493,99493 TV 93
99259,99259 TNU 59
99495,99495 TV 95
99261,99261 TNU 61
99053,99053 TPL 53 X
99497,99497 TV 97
99055,99055 TPL 55
99499,99499 TV 99
99057,99057 TPL 57
99263,99263 TNU 63
99501,99501 TV 101
99265,99265 TNU 65
99503,99503 TV 103
99059,99059 TPL 59
99505,99505 TV 105
99061,99061 TPL 61
99507,99507 TV 107
99267,99267 TNU 67
99063,99063 TPL 63
99509,99509 TV 109
99065,99065 TPL 65 X
99511,99511 TV 111
99067,99067 TPL 67
99513,99513 TV 113
99515,99515 TV 115
99069,99069 TPL 69
99517,99517 TV 117
99071,99071 TPL 71
99073,99073 TPL 73
99519,99519 TV 119
99701,99701 UBR 1
99601,99601 UNU 1
99603,99603 UNU 3
99703,99703 UBR 3
99605,99605 UNU 5
99705,99705 UBR 5
99607,99607 UNU 7
99707,99707 UBR 7
99609,99609 UNU 9
99709,99709 UBR 9
99611,99611 UNU 11
99711,99711 UBR 11
99613,99613 UNU 13
99713,99713 UBR 13
99615,99615 UNU 15
99715,99715 UBR 15
99617,99617 UNU 17
99717,99717 UBR 17
99619,99619 UNU 19
99719,99719 UBR 19
99602,99602 UNU 2
99702,99702 UBR 2
99604,99604 UNU 4
99704,99704 UBR 4
99606,99606 UNU 6
99706,99706 UBR 6
99608,99608 UNU 8
99708,99708 UBR 8
99610,99610 UNU 10
99710,99710 UBR 10
99612,99612 UNU 12
99712,99712 UBR 12
99614,99614 UNU 14
99714,99714 UBR 14
99616,99616 UNU 16
99716,99716 UBR 16
99618,99618 UNU 18
99718,99718 UBR 18
99620,99620 UNU 20
99720,99720 UBR 20
96002,96002
97302,97302
96102,96102
97602,97602
97304,97304
97604,97604
96302,96302
97306,97306
96602,96602
97308,97308
96304,96304
95902,95902
97606,97606
96104,96104
96301,96301
97301,97301
96401,96401
97601,97601
96101,96101
97303,97303
97603,97603
96001,96001
96501,96501
96103,96103
96601,96601
96403,96403
95015,95015
96105,96105
96603,96603
90065,BSR 90065 12 CAR
90067,VR 90067 12 CAR
90069,BVI 90069 12 CAR
90071,BVI 90071 12 CAR
90073,VR 90073 12 CAR
92017,VR 92017 12 CAR
90077,BVI 90077 12 CAR
90079,BVI 90079 12 CAR
92019,BSR 92019 15 CAR
94007,VR 94007 12 CAR
90083,VR 90083 12 CAR
90085,GMN 90085 12 CAR
90087,BVI 90087 12 CAR
90089,BVI 90089 12 CAR
90551,BVI 90551 12 CAR
90553,BYR 90553 12 CAR
90555,GMN 90555 12 CAR
90557,BVI 90557 12 CAR
90559,BVI 90559 12 CAR
90561,BVI 90561 12 CAR
94043,VR 94043 12 CAR
90565,GMN 90565 12 CAR
90567,VR 90567 12 CAR
94045,VR 94045 12 CAR
90569,BSR 90569 12 CAR
90571,BVI 90571 12 CAR
90573,VR 90573 12 CAR
94047,BVI 94047 12 CAR
90575,VR 90575 12 CAR
92121,VR 92121 15 CAR
90577,BVI 90577 12 CAR
90579,BVI 90579 12 CAR
90581,GMN 90581 12 CAR
90583,BVI 90583 12 CAR
90585,VR 90585 12 CAR
90587,BVI 90587 12 CAR
93027,DRD 93027 12 CAR
90589,BVI 90589 12 CAR
94049,VR 94049 12 CAR
90593,GMN 90593 12 CAR
92123,VR 92123 15 CAR
90595,BVI 90595 12 CAR
90597,BYR 90597 12 CAR
